code,code_generated,name,owner,category,status,acq_date,cost,accum,book_value,remaining_life,method
AS-the tenant-0063,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-the tenant-0064,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-the tenant-0065,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-the tenant-0066,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-the tenant-0067,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-the tenant-0068,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-the tenant-0069,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-the tenant-0070,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0071,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0072,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0073,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0074,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0075,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0076,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0077,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0078,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0079,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0080,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0081,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0082,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0083,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0084,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0085,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0086,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0087,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0088,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0089,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0090,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0091,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0092,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0093,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0094,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0095,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0096,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0097,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0098,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0099,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0100,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0101,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0102,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0103,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0104,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0105,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0106,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0107,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0108,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0109,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0110,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0111,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0112,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0113,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0114,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-the tenant-0115,1,Damoda Drone Propeller,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
